match,mismatch,gap,pair,score,length,norm_score
2,-1,-2,Turquoise_vs_Pale Green,2547.8388468848616,42,60.6628296877348
1,-2,-2,Turquoise_vs_Pale Green,2557.858396313263,49,52.20119176149516
2,-2,-2,Turquoise_vs_Pale Green,2541.3194021772224,46,55.2460739603744
1,-1,-1,White_vs_Yellow,9746.526646484694,116,84.02178143521287
2,-1,-1,White_vs_Yellow,10113.00497646494,136,74.36033070930102
1,-2,-1,White_vs_Yellow,10347.156110028227,159,65.0764535221901
2,-2,-1,White_vs_Yellow,10433.50892736567,162,64.40437609484982
1,-1,-2,White_vs_Yellow,8972.379197803117,83,108.100954190399
2,-1,-2,White_vs_Yellow,8941.55217082879,81,110.38953297319495
1,-2,-2,White_vs_Yellow,9492.651367340086,100,94.92651367340086
2,-2,-2,White_vs_Yellow,9718.652281785295,116,83.78148518780426
1,-1,-1,White_vs_Pale Blue,6459.806625712975,83,77.82899549051777
2,-1,-1,White_vs_Pale Blue,6101.225939525166,83,73.50874625933935
1,-2,-1,White_vs_Pale Blue,6522.933849946534,93,70.13907365533908
2,-2,-1,White_vs_Pale Blue,6766.958316783937,103,65.6986244347955
1,-1,-2,White_vs_Pale Blue,6241.385732311317,79,79.00488268748502
2,-1,-2,White_vs_Pale Blue,6264.49845336613,79,79.29744877678645
1,-2,-2,White_vs_Pale Blue,6528.192133704515,86,75.90921085702925
2,-2,-2,White_vs_Pale Blue,6443.765859893826,83,77.63573325173284
1,-1,-1,White_vs_Green,6792.4609495403965,89,76.3197859498921
2,-1,-1,White_vs_Green,7405.8031466601815,107,69.21311352018861
1,-2,-1,White_vs_Green,7289.755251296094,107,68.12855375043078
2,-2,-1,White_vs_Green,7555.311571996667,115,65.69836149562319
1,-1,-2,White_vs_Green,6637.125771198703,79,84.014250268338
2,-1,-2,White_vs_Green,6621.277442850426,77,85.99061614091463
1,-2,-2,White_vs_Green,7278.407154436662,94,77.42986334507087
2,-2,-2,White_vs_Green,7109.570225465756,90,78.99522472739729
1,-1,-1,White_vs_Dark Pink,2818.99944463358,84,33.55951719801881
2,-1,-1,White_vs_Dark Pink,3099.6048341810992,100,30.996048341810994
1,-2,-1,White_vs_Dark Pink,3015.2589673218795,111,27.164495201098013
2,-2,-1,White_vs_Dark Pink,3191.7271284328062,115,27.754148942893966
1,-1,-2,White_vs_Dark Pink,2773.157561360577,77,36.015033264423074
2,-1,-2,White_vs_Dark Pink,2790.309477677614,77,36.2377854243846
1,-2,-2,White_vs_Dark Pink,2794.7432744636935,88,31.75844630072379
2,-2,-2,White_vs_Dark Pink,2818.99944463358,84,33.55951719801881
1,-1,-1,White_vs_Orange,8567.55606232983,93,92.12425873472935
2,-1,-1,White_vs_Orange,8602.561787530874,107,80.39777371524181
1,-2,-1,White_vs_Orange,9057.968511946734,120,75.48307093288945
2,-2,-1,White_vs_Orange,9350.313125649662,139,67.26843975287527
1,-1,-2,White_vs_Orange,8145.893071581331,79,103.11257052634596
2,-1,-2,White_vs_Orange,8057.34028444982,79,101.99164917025088
1,-2,-2,White_vs_Orange,8733.528948629995,99,88.21746412757571
2,-2,-2,White_vs_Orange,8655.110627773623,95,91.10642766077498
1,-1,-1,White_vs_Pale Green,4383.368042685024,77,56.926857697208106
2,-1,-1,White_vs_Pale Green,4386.289539062313,81,54.151722704473
1,-2,-1,White_vs_Pale Green,4387.211916986321,77,56.97677814267949
2,-2,-1,White_vs_Pale Green,4505.755133942309,90,50.06394593269232
1,-1,-2,White_vs_Pale Green,4325.33151693275,74,58.45042590449662
2,-1,-2,White_vs_Pale Green,4302.489323665853,74,58.14174761710612
1,-2,-2,White_vs_Pale Green,4435.662335883459,76,58.36397810372972
2,-2,-2,White_vs_Pale Green,4486.179392764578,76,59.02867622058655
1,-1,-1,Yellow_vs_Pale Blue,8874.2883317487,104,85.32969549758364
2,-1,-1,Yellow_vs_Pale Blue,9401.71985787853,119,79.00604922587
1,-2,-1,Yellow_vs_Pale Blue,9813.33479987942,134,73.23384179014492
2,-2,-1,Yellow_vs_Pale Blue,9777.962113440459,130,75.21509318031121
1,-1,-2,Yellow_vs_Pale Blue,8696.394106457832,93,93.50961404793368
2,-1,-2,Yellow_vs_Pale Blue,8768.481769874204,97,90.39671927705365
1,-2,-2,Yellow_vs_Pale Blue,9027.67298908472,102,88.50659793220314
2,-2,-2,Yellow_vs_Pale Blue,8994.806919981034,105,85.66482780934318
1,-1,-1,Yellow_vs_Green,11860.34688487429,123,96.42558442987227
2,-1,-1,Yellow_vs_Green,11715.61515723882,142,82.50433209323113
1,-2,-1,Yellow_vs_Green,11646.829350586673,146,79.7728037711416
2,-2,-1,Yellow_vs_Green,11806.785503066492,153,77.168532699781
1,-1,-2,Yellow_vs_Green,11310.362472151228,94,120.3230050228854
2,-1,-2,Yellow_vs_Green,11494.349547149846,98,117.28928109336577
1,-2,-2,Yellow_vs_Green,11985.637175177515,123,97.44420467623996
2,-2,-2,Yellow_vs_Green,11854.874191789026,123,96.38109099015468
1,-1,-1,Yellow_vs_Dark Pink,2882.4587302847326,80,36.03073412855916
2,-1,-1,Yellow_vs_Dark Pink,2883.799846848767,80,36.04749808560959
1,-2,-1,Yellow_vs_Dark Pink,2951.2755863889606,83,35.55753718540917
2,-2,-1,Yellow_vs_Dark Pink,2927.1732996799565,84,34.84730118666615
